subj_nr	sent_nr	word_pos	item	RTfirstpass	prevfix	reject_data	word	log_freq	nr_char	reject_word
38	227	11	22711	192	false	false	bow	-6.7154	3	false
38	227	12	22712	204	true	false	of	-14.3992	2	false
38	227	13	22713	0	true	true	his	-11.844	3	false
38	227	14	22714	192	false	false	head.		5	true
38	228	1	22801	308	true	false	They	-13.0694	4	true
38	228	2	22802	0	true	true	say	-11.3139	3	false
38	228	3	22803	132	false	false	he	-12.7513	2	false
38	228	4	22804	0	true	true	can	-12.6636	3	false
38	228	5	22805	244	false	false	breathe	-6.9157	7	false
38	228	6	22806	0	true	true	fire	-9.185	4	false
38	228	7	22807	172	false	false	and	-14.4566	3	false
38	228	8	22808	276	true	false	kill	-8.4431	4	false
38	228	9	22809	0	true	true	a	-14.4505	1	false
38	228	10	22810	188	false	false	man	-10.3011	3	false
38	228	11	22811	0	true	true	with	-13.2011	4	false
38	228	12	22812	156	false	false	a	-14.4505	1	false
38	228	13	22813	188	true	false	single	-9.6353	6	false
38	228	14	22814	168	true	false	word.		5	true
38	230	1	23001	0	true	true	He	-12.7513	2	true
38	230	2	23002	384	false	false	came	-10.1778	4	false
38	230	3	23003	0	true	true	back	-11.4651	4	false
38	230	4	23004	100	false	false	to	-14.774	2	false
38	230	5	23005	0	true	true	his	-11.844	3	false
38	230	6	23006	268	false	false	senses	-6.5554	6	false
38	230	7	23007	0	true	true	when	-11.8986	4	false
38	230	8	23008	176	false	false	he	-12.7513	2	false
38	230	9	23009	252	true	false	heard	-9.7076	5	false
38	230	10	23010	0	true	true	his	-11.844	3	false
38	230	11	23011	0	false	true	dad	-8.6487	3	false
38	230	12	23012	612	false	false	stand	-9.3381	5	false
38	230	13	23013	0	true	true	up	-12.1638	2	false
38	230	14	23014	220	false	false	to	-14.774	2	false
38	230	15	23015	0	true	true	him.		4	true
38	235	1	23501	0	false	true	He	-12.7513	2	true
38	235	2	23502	344	false	false	was	-13.1952	3	false
38	235	3	23503	276	true	false	already	-10.4358	7	false
38	235	4	23504	0	true	true	up	-12.1638	2	false
38	235	5	23505	208	false	false	and	-14.4566	3	false
38	235	6	23506	204	true	false	dressed	-7.0317	7	false
38	235	7	23507	0	true	true	and	-14.4566	3	false
38	235	8	23508	256	false	false	invited	-8.1691	7	false
38	235	9	23509	0	true	true	us	-11.694	2	false
