rnntype	fit	se	x
GRU	57.768482687911124	4.351457	-6.5179
GRU	58.932789328536124	4.380562	-6.4900446
GRU	60.12926721855077	4.442535	-6.462189
GRU	61.37283563896093	4.5256867	-6.4343333
GRU	62.67841196342382	4.615069	-6.406478
GRU	64.06091547294531	4.6949	-6.3786225
GRU	65.53455591483984	4.751072	-6.3507667
GRU	67.10421991630469	4.7757635	-6.3229113
GRU	68.76177645011816	4.769614	-6.295056
GRU	70.49270296379004	4.7398496	-6.2672
GRU	72.28134966178808	4.699765	-6.2393446
GRU	74.11287355705176	4.666008	-6.211489
GRU	75.97249269767676	4.6533136	-6.183634
GRU	77.84542703910742	4.6718793	-6.155778
GRU	79.71689844413672	4.7255015	-6.1279225
GRU	81.57211923881445	4.810852	-6.100067
GRU	83.39631510063086	4.918119	-6.0722113
GRU	85.17470026298437	5.0326924	-6.044356
GRU	86.8924927739707	5.137288	-6.0165005
GRU	88.53491449638281	5.2140207	-5.9886446
GRU	90.08717966361914	5.246266	-5.960789
GRU	91.53451395316992	5.2205095	-5.932934
GRU	92.86213159843359	5.1286874	-5.905078
GRU	94.05528879447851	4.9718904	-5.8772225
GRU	95.1049065618125	4.7692127	-5.849367
GRU	96.02076196952734	4.5681257	-5.8215113
GRU	96.8322014836875	4.4372816	-5.793656
GRU	97.58392954154883	4.440893	-5.7658005
GRU	98.32383203788672	4.6025553	-5.7379446
GRU	99.09978342338476	4.8925366	-5.710089
GRU	99.95967340751562	5.2433476	-5.682234
GRU	100.95138407035742	5.574344	-5.654378
GRU	102.12280130668555	5.80769	-5.6265225
GRU	103.52180719657812	5.874528	-5.598667
GRU	105.19628763481055	5.717504	-5.5708113
GRU	107.19412470146094	5.2959614	-5.542956
GRU	109.55943155570898	4.607752	-5.5151005
GRU	112.29301309867773	3.7839952	-5.4872446
GRU	115.34268045707617	3.2295659	-5.459389
GRU	118.61929178520117	3.5567307	-5.431534
GRU	122.02275705619726	4.799259	-5.4036784
GRU	125.46943521781836	6.5031047	-5.3758225
LSTM	13.311278269928017	9.907335	-8.229659
LSTM	12.28883259121708	7.482789	-8.201092
LSTM	11.23701374356083	5.749659	-8.1725235
LSTM	10.126311228912392	5.121458	-8.143955
LSTM	8.922114298980752	5.462347	-8.115388
LSTM	7.582564280670205	6.118757	-8.08682
LSTM	6.072668955963174	6.6276846	-8.058251
LSTM	4.372614787262002	6.8634324	-8.029684
LSTM	2.466914103668252	6.8480253	-8.001116
LSTM	0.3400830489807518	6.6496024	-7.972548
LSTM	-2.02336223300167	6.347854	-7.94398
LSTM	-4.638897969085654	6.0132236	-7.915412
LSTM	-7.521466328460654	5.6896515	-7.886844
LSTM	-10.663327290374717	5.3907647	-7.8582764
LSTM	-14.018769337493858	5.0982676	-7.829708
LSTM	-17.50606258090206	4.7750673	-7.8011403
LSTM	-21.017872883636436	4.4035993	-7.7725725
LSTM	-24.407925679046592	4.057455	-7.7440042
LSTM	-27.49702174838253	3.9144192	-7.7154365
LSTM	-30.100827290374717	4.1061144	-7.6868687
LSTM	-32.046986653167686	4.5781703	-7.658301
LSTM	-33.18450648959347	5.1339884	-7.6297326
LSTM	-33.43908412631222	5.591782	-7.601165
LSTM	-32.823292805511436	5.858047	-7.572597
LSTM	-31.429081990081748	5.930685	-7.5440288
LSTM	-29.35939510043331	5.8425727	-7.515461
LSTM	-26.717198445159873	5.6415877	-7.486893
LSTM	-23.605435444671592	5.38425	-7.458325
LSTM	-20.127064778167686	5.130395	-7.429757
LSTM	-16.385045124847373	4.934879	-7.4011893
LSTM	-12.482331349212608	4.835059	-7.372621
LSTM	-8.521874501068076	4.8384166	-7.3440533
LSTM	-4.606629444915733	4.919057	-7.3154855
LSTM	-0.8373957413024513	5.027498	-7.2869177
LSTM	2.706049845855752	5.1124406	-7.2583494
LSTM	5.987303660553017	5.1402755	-7.2297816
LSTM	9.007594035308877	5.101748	-7.201214
LSTM	11.786786006134072	5.0070634	-7.1726456
LSTM	14.346106455963174	4.8764324	-7.144078
