rnntype	fit	se	x
SRN	2.788445181308333	2.7792504	-6.325341
SRN	2.34469384616429	2.7555988	-6.3012123
SRN	1.8945414490085284	2.7361026	-6.2770834
SRN	1.4377977318149249	2.7223988	-6.2529545
SRN	0.9742719597201983	2.7152975	-6.2288256
SRN	0.5037743515353839	2.7146826	-6.2046967
SRN	0.026114172397200264	2.7195148	-6.1805677
SRN	-0.4588993125576337	2.7279482	-6.156439
SRN	-0.9514558845180829	2.7375343	-6.13231
SRN	-1.4517467551845868	2.745499	-6.1081815
SRN	-1.9599645667690595	2.7490962	-6.0840526
SRN	-2.4763424926418622	2.7462893	-6.0599236
SRN	-3.0011542373318036	2.736854	-6.0357947
SRN	-3.5346851878780683	2.7228286	-6.011666
SRN	-4.07721572452968	2.706877	-5.987537
SRN	-4.629025393070634	2.691608	-5.963408
SRN	-5.190394454540666	2.6792393	-5.939279
SRN	-5.761602991165574	2.6713288	-5.91515
SRN	-6.342930951060708	2.6685817	-5.8910213
SRN	-6.934658401550706	2.6707609	-5.8668923
SRN	-7.537065439762529	2.6767113	-5.8427634
SRN	-8.150431924404558	2.6844947	-5.818635
SRN	-8.775038056911882	2.691619	-5.794506
SRN	-9.411163621487077	2.6953435	-5.770377
SRN	-10.059029155315812	2.6932206	-5.7462482
SRN	-10.718664937557634	2.6838605	-5.7221193
SRN	-11.389735990108903	2.6677458	-5.6979904
SRN	-12.07165604168361	2.646658	-5.6738615
SRN	-12.763817601742204	2.6226358	-5.6497326
SRN	-13.465519719662126	2.5979862	-5.6256037
SRN	-14.175979428829606	2.5749118	-5.601475
SRN	-14.894397073330339	2.554823	-5.577346
SRN	-15.619970613064226	2.5380313	-5.553217
SRN	-16.351901345791276	2.5237095	-5.5290885
SRN	-17.089386277737077	2.5100255	-5.5049596
SRN	-17.83162622982448	2.4944482	-5.4808307
SRN	-18.57782869869655	2.4742484	-5.4567018
SRN	-19.32732992702907	2.4477203	-5.432573
SRN	-20.079702668728288	2.415209	-5.408444
SRN	-20.834657960476335	2.3787577	-5.384315
SRN	-21.592147164883073	2.342429	-5.360186
SRN	-22.352191262783464	2.3108451	-5.336057
SRN	-23.11481028133815	2.2882934	-5.3119283
SRN	-23.880025201382097	2.2783265	-5.2877994
SRN	-24.647855096401628	2.2835677	-5.263671
SRN	-25.418319039883073	2.3057933	-5.239542
SRN	-26.191439920010026	2.3463202	-5.215413
SRN	-26.967234902920183	2.4066844	-5.191284
SRN	-27.745671563686784	2.4898026	-5.1671553
SRN	-28.52661257320827	2.6005292	-5.1430264
SRN	-29.309716516079362	2.7449496	-5.1188974
SRN	-30.094514184536393	2.9273567	-5.0947685
SRN	-30.880503945888933	3.148187	-5.0706396
SRN	-31.66719751888698	3.403995	-5.0465107
SRN	-32.45416956478542	3.6888	-5.022382
GRU	10.082872804819429	4.754912	-7.492653
GRU	10.170790132700288	4.3838434	-7.4655666
GRU	10.25791591089853	4.0395207	-7.4384804
GRU	10.343437608896577	3.7268033	-7.411394
GRU	10.426330980478609	3.4484298	-7.384308
GRU	10.505285677133882	3.2048876	-7.3572216
GRU	10.578920778452241	2.9948537	-7.3301353
GRU	10.645937380014741	2.8170466	-7.303049
GRU	10.705130037485445	2.6711211	-7.275963
GRU	10.755297121225679	2.5565894	-7.248877
GRU	10.79526942652353	2.4722903	-7.221791
GRU	10.823988374887788	2.4163547	-7.1947045
GRU	10.840450700937593	2.3852503	-7.1676183
GRU	10.843721803842866	2.374133	-7.140532
GRU	10.832901415048921	2.3778927	-7.1134458
GRU	10.807142671762788	2.3939195	-7.0863595
GRU	10.765625414072359	2.421378	-7.0592732
GRU	10.707525667368257	2.4592454	-7.032187
GRU	10.632036623178804	2.5057878	-7.0051007
GRU	10.538464006601655	2.5589058	-6.9780145
GRU	10.42618220728525	2.6152017	-6.950928
GRU	10.294769701181734	2.6704044	-6.9238424
GRU	10.144009050546968	2.7201364	-6.896756
GRU	9.973778185068452	2.760257	-6.86967
GRU	9.784378465830171	2.789411	-6.8425837
GRU	9.576385912119234	2.8088963	-6.8154974
GRU	9.350386079965913	2.8209543	-6.788411
GRU	9.106966432749116	2.8281682	-6.761325
GRU	8.84671443384775	2.833036	-6.7342386
GRU	8.570217546640718	2.8376355	-6.7071524
GRU	8.278061327158296	2.8433707	-6.680066
GRU	7.970835146128023	2.8508124	-6.65298
GRU	7.649124559580171	2.8596401	-6.625894
GRU	7.3135189382422805	2.8686936	-6.598808
GRU	6.964601930795991	2.8761241	-6.5717216
GRU	6.602964815317476	2.879638	-6.5446353
GRU	6.229191240488374	2.8768203	-6.517549
GRU	5.843861993967378	2.8659015	-6.490463
GRU	5.4474911062110305	2.8472915	-6.4633765
GRU	5.040524896799409	2.8228867	-6.4362903
GRU	4.623230394541109	2.7959735	-6.409204
GRU	4.195805010019624	2.7703145	-6.3821177
GRU	3.758448061167085	2.7493677	-6.3550315
GRU	3.3113569585669875	2.7358649	-6.327945
GRU	2.85473102015146	2.7314658	-6.3008595
GRU	2.3887686101783157	2.7365384	-6.273773
GRU	1.9136680929053664	2.750101	-6.246687
GRU	1.429627832590425	2.7699404	-6.2196007
GRU	0.9368452398169875	2.7928803	-6.1925144
GRU	0.43551963251718284	2.8151572	-6.165428
GRU	-0.07424122411123513	2.8330467	-6.138342
GRU	-0.5925412805687547	2.843632	-6.1112556
GRU	-1.1199794443260789	2.8461363	-6.0841694
GRU	-1.6576915414940476	2.8423069	-6.057083
GRU	-2.2068949373375535	2.834754	-6.029997
GRU	-2.768805089772856	2.8263252	-6.002911
