rep	epoch	rnntype	chi2	b_surp	z_surp	avsurp
3	1	LSTM	8.024601254379377	0.18582615588845638	2.4219401774749154	7.477428942028485
3	2	SRN	41.44302796886768	0.6244124219368441	6.485202211255231	7.198247042112669
3	2	GRU	39.140844938810915	0.6271875505477301	6.299457419417453	7.196807607779504
3	2	LSTM	35.133590469980845	0.5877562308386629	5.9639619384607805	7.198609306028137
3	3	SRN	18.801365267281653	0.3653773415350203	4.350406806838932	6.896990756407489
3	3	GRU	11.86939684546087	0.3639772504900095	3.4522358862015006	7.026825239596577
3	3	LSTM	11.444579531467753	0.41261310136600815	3.3896239665066763	7.072008182187104
3	4	SRN	4.717616191133857	0.14131324148690122	2.1738796558902274	6.446333546654886
3	4	GRU	9.243061679590028	0.21353134305973795	3.045083637485003	6.51111176599142
3	4	LSTM	15.1169302680064	0.33266778502971867	3.8983459788431474	6.6589720163580814
3	5	SRN	2.032843709777808	-0.005108327232934413	-0.0856257960699289	6.065354269035073
3	5	GRU	1.288772711151978	0.02666746100868448	0.4428307257611241	6.172198201854519
3	5	LSTM	1.8360927171015646	0.05874117103050345	0.9268926216290914	6.280626513283149
3	6	SRN	4.647292731300695	-0.10415415238301269	-2.153728313070352	5.773876886335851
3	6	GRU	3.926132595370291	-0.08679906634413753	-1.6941545196213326	5.714951281491061
3	6	LSTM	3.467595698137302	-0.09106785137168635	-1.7439039827690839	5.784288099772187
3	7	SRN	14.8324408827757	-0.1649690524279456	-3.860550660022225	5.403352658196318
