rnntype	fit	se	x
SRN	124.5035037586471	6.3074436	-5.553934
SRN	125.80376620981897	6.427252	-5.530626
SRN	127.06044574473108	6.599689	-5.507318
SRN	128.27333636973108	6.778787	-5.4840097
SRN	129.44496722910608	6.9238305	-5.4607015
SRN	130.58346744272913	7.0124598	-5.437393
SRN	131.69926639292444	7.0381618	-5.4140854
SRN	132.80828281138147	7.0176787	-5.390777
SRN	133.93052097056116	6.982569	-5.367469
SRN	135.08667178843226	6.959251	-5.3441606
SRN	136.29742236826624	6.9595103	-5.3208528
SRN	137.58346362803186	6.9769993	-5.2975445
SRN	138.96548267100061	6.9883204	-5.274236
SRN	140.46415897104944	6.9581904	-5.250928
SRN	142.10019107554163	6.847279	-5.22762
SRN	143.89395328257288	6.6226807	-5.204312
SRN	145.85981937144007	6.28052	-5.1810036
SRN	148.00541873667444	5.8688765	-5.1576953
SRN	150.32473941538538	5.525009	-5.134387
SRN	152.78429599497522	5.483629	-5.111079
SRN	155.3437594959518	5.937601	-5.087771
SRN	157.96278568003382	6.89704	-5.0644627
SRN	160.6041125843307	8.222847	-5.0411544
GRU	-2.905304918936068	8.9638	-7.4210143
GRU	-3.0043192011626303	7.4601316	-7.3943896
GRU	-3.097992907217318	6.2527328	-7.367765
GRU	-3.180481920889193	5.465872	-7.34114
GRU	-3.244912157705599	5.130924	-7.314515
GRU	-3.2845926386626303	5.1229577	-7.28789
GRU	-3.2939081293852865	5.2394485	-7.2612653
GRU	-3.2704935175688803	5.340053	-7.2346406
GRU	-3.2133340937407553	5.365435	-7.2080154
GRU	-3.121560106924349	5.3058467	-7.181391
GRU	-2.9962930781157553	5.194637	-7.154766
GRU	-2.840340624502474	5.080752	-7.128141
GRU	-2.6570291621001303	4.9969125	-7.1015162
GRU	-2.4512491328032553	4.948538	-7.074891
GRU	-2.228547106436068	4.9099236	-7.0482664
GRU	-1.994454394033724	4.849776	-7.0216417
GRU	-1.752785692861849	4.770856	-6.9950166
GRU	-1.506234179189974	4.7077947	-6.968392
GRU	-1.2574091059477865	4.7058253	-6.9417667
GRU	-1.0071344477446615	4.8111296	-6.915142
